Date,^NSEBANK,^NSEI
2025-07-09,57213.55078125,25476.099609375
2025-07-10,56956.0,25355.25
2025-07-11,56754.69921875,25149.849609375
2025-07-14,56765.3515625,25082.30078125
2025-07-15,57006.6484375,25195.80078125
2025-07-16,57168.94921875,25212.05078125
2025-07-17,56828.80078125,25111.44921875
2025-07-18,56283.0,24968.400390625
2025-07-21,56952.75,25090.69921875
2025-07-22,56756.0,25060.900390625
2025-07-23,57210.44921875,25219.900390625
2025-07-24,57066.05078125,25062.099609375
2025-07-25,56528.8984375,24837.0
2025-07-28,56084.8984375,24680.900390625
2025-07-29,56222.0,24821.099609375
2025-07-30,56150.69921875,24855.05078125
2025-07-31,55961.94921875,24768.349609375
2025-08-01,55617.6015625,24565.349609375
2025-08-04,55619.3515625,24722.75
2025-08-05,55360.25,24649.55078125
2025-08-06,55411.1484375,24574.19921875
2025-08-07,55521.1484375,24596.150390625
2025-08-08,55004.8984375,24363.30078125
2025-08-11,55510.75,24585.05078125
2025-08-12,55043.69921875,24487.400390625
2025-08-13,55181.44921875,24619.349609375
2025-08-14,55341.8515625,24631.30078125
2025-08-18,55734.8984375,24876.94921875
2025-08-19,55865.1484375,24980.650390625
2025-08-20,55698.5,25050.55078125
2025-08-21,55755.44921875,25083.75
2025-08-22,55149.3984375,24870.099609375
2025-08-25,55139.30078125,24967.75
2025-08-26,54450.44921875,24712.05078125
2025-08-28,53820.3515625,24500.900390625
2025-08-29,53655.6484375,24426.849609375
2025-09-01,54002.44921875,24625.05078125
2025-09-02,53661.0,24579.599609375
2025-09-03,54067.55078125,24715.05078125
2025-09-04,54075.44921875,24734.30078125
2025-09-05,54114.55078125,24741.0
2025-09-08,54186.8984375,24773.150390625
2025-09-09,54216.1015625,24868.599609375
2025-09-10,54536.0,24973.099609375
2025-09-11,54669.6015625,25005.5
2025-09-12,54809.30078125,25114.0
2025-09-15,54887.8515625,25069.19921875
2025-09-16,55147.6015625,25239.099609375
2025-09-17,55493.30078125,25330.25
2025-09-18,55727.44921875,25423.599609375
2025-09-19,55458.8515625,25327.05078125
2025-09-22,55284.75,25202.349609375
2025-09-23,55509.75,25169.5
2025-09-24,55121.5,25056.900390625
2025-09-25,54976.19921875,24890.849609375
2025-09-26,54389.3515625,24654.69921875
2025-09-29,54461.0,24634.900390625
2025-09-30,54635.8515625,24611.099609375
2025-10-01,55347.94921875,24836.30078125
2025-10-03,55589.25,24894.25
2025-10-06,56104.8515625,25077.650390625
2025-10-07,56239.3515625,25108.30078125
2025-10-08,56018.25,25046.150390625
2025-10-09,56192.05078125,25181.80078125
2025-10-10,56609.75,25285.349609375
2025-10-13,56625.0,25227.349609375
2025-10-14,56496.44921875,25145.5
2025-10-15,56799.8984375,25323.55078125
2025-10-16,57422.55078125,25585.30078125
2025-10-17,57713.3515625,25709.849609375
2025-10-20,58033.19921875,25843.150390625
2025-10-21,58007.19921875,25868.599609375
2025-10-23,58078.05078125,25891.400390625
2025-10-24,57699.6015625,25795.150390625
2025-10-27,58114.25,25966.05078125
2025-10-28,58214.1015625,25936.19921875
2025-10-29,58385.25,26053.900390625
2025-10-30,58031.1015625,25877.849609375
2025-10-31,57776.3515625,25722.099609375
2025-11-03,58101.44921875,25763.349609375
2025-11-04,57827.05078125,25597.650390625
2025-11-06,57554.25,25509.69921875
2025-11-07,57876.80078125,25492.30078125
2025-11-10,57937.55078125,25574.349609375
2025-11-11,58138.1484375,25694.94921875
2025-11-12,58274.6484375,25875.80078125
2025-11-13,58381.94921875,25879.150390625
2025-11-14,58517.55078125,25910.05078125
2025-11-17,58962.69921875,26013.44921875
2025-11-18,58899.25,25910.05078125
2025-11-19,59216.05078125,26052.650390625
2025-11-20,59347.69921875,26192.150390625
2025-11-21,58867.69921875,26068.150390625
2025-11-24,58835.3515625,25959.5
2025-11-25,58820.30078125,25884.80078125
2025-11-26,59528.05078125,26205.30078125
2025-11-27,59737.30078125,26215.55078125
2025-11-28,59752.69921875,26202.94921875
2025-12-01,59681.3515625,26175.75
2025-12-02,59273.80078125,26032.19921875
2025-12-03,59348.25,25986.0
2025-12-04,59288.69921875,26033.75
2025-12-05,59777.19921875,26186.44921875
2025-12-08,59238.55078125,25960.55078125
2025-12-09,59222.3515625,25839.650390625
2025-12-10,58960.3984375,25758.0
2025-12-11,59209.8515625,25898.55078125
2025-12-12,59389.94921875,26046.94921875
2025-12-15,59461.80078125,26027.30078125
2025-12-16,59034.6015625,25860.099609375
2025-12-17,58926.75,25818.55078125
2025-12-18,58912.8515625,25815.55078125
2025-12-19,59069.19921875,25966.400390625
2025-12-22,59304.0,26172.400390625
2025-12-23,59299.55078125,26177.150390625
2025-12-24,59183.6015625,26142.099609375
2025-12-26,59011.3515625,26042.30078125
2025-12-29,58932.3515625,25942.099609375
2025-12-30,59171.25,25938.849609375
2025-12-31,59581.8515625,26129.599609375
2026-01-01,59711.55078125,26146.55078125
2026-01-02,60150.94921875,26328.55078125
2026-01-05,60044.19921875,26250.30078125
2026-01-06,60118.3984375,26178.69921875
2026-01-07,59990.8515625,26140.75
2026-01-08,59686.5,25876.849609375
2026-01-09,59251.55078125,25683.30078125
2026-01-12,59450.5,25790.25
2026-01-13,59578.80078125,25732.30078125
2026-01-14,59580.1484375,25665.599609375
2026-01-16,60095.1484375,25694.349609375
2026-01-19,59891.3515625,25585.5
2026-01-20,59404.19921875,25232.5
2026-01-21,58800.30078125,25157.5
2026-01-22,59200.1015625,25289.900390625
2026-01-23,58473.1015625,25048.650390625
2026-01-27,59205.44921875,25175.400390625
2026-01-28,59598.80078125,25342.75
2026-01-29,59957.8515625,25418.900390625
2026-01-30,59610.44921875,25320.650390625
2026-02-02,58619.0,25088.400390625
2026-02-03,60041.30078125,25727.55078125
2026-02-04,60238.1484375,25776.0
2026-02-05,60063.6484375,25642.80078125
2026-02-06,60120.55078125,25693.69921875
2026-02-09,60669.3515625,25867.30078125
2026-02-10,60626.3984375,25935.150390625
2026-02-11,60745.3515625,25953.849609375
2026-02-12,60739.75,25807.19921875
2026-02-13,60186.6484375,25471.099609375
2026-02-16,60949.1015625,25682.75
2026-02-17,61174.0,25725.400390625
2026-02-18,61550.80078125,25819.349609375
2026-02-19,60739.55078125,25454.349609375
2026-02-20,61172.0,25571.25
2026-02-23,61264.25,25713.0
2026-02-24,61047.30078125,25424.650390625
2026-02-25,61043.3515625,25482.5
2026-02-26,61187.69921875,25496.55078125
2026-02-27,60529.0,25178.650390625
2026-03-02,59839.6484375,24865.69921875
2026-03-04,58755.25,24480.5
2026-03-05,59055.8515625,24765.900390625
2026-03-06,57783.25,24450.44921875
2026-03-09,56019.80078125,24028.05078125
2026-03-10,56950.80078125,24261.599609375
2026-03-11,55735.75,23866.849609375
2026-03-12,55100.94921875,23639.150390625
2026-03-13,53757.8515625,23151.099609375
2026-03-16,54413.3984375,23408.80078125
2026-03-17,54876.0,23581.150390625
2026-03-18,55326.05078125,23777.80078125
2026-03-19,53451.0,23002.150390625
2026-03-20,53427.05078125,23114.5
2026-03-23,51437.75,22512.650390625
2026-03-24,52605.6484375,22912.400390625
2026-03-25,53708.1015625,23306.44921875
2026-03-27,52274.6015625,22819.599609375
2026-03-30,50275.3515625,22331.400390625
2026-04-01,51448.6484375,22679.400390625
2026-04-02,51548.75,22713.099609375
2026-04-06,52609.1015625,22968.25
2026-04-07,52716.25,23123.650390625
2026-04-08,55703.8984375,23997.349609375
2026-04-09,54821.69921875,23775.099609375
2026-04-10,55912.75,24050.599609375
2026-04-13,55605.05078125,23842.650390625
2026-04-15,56301.94921875,24231.30078125
2026-04-16,56086.3984375,24196.75
2026-04-17,56565.69921875,24353.55078125
2026-04-20,56582.3515625,24364.849609375
2026-04-21,57371.44921875,24576.599609375
2026-04-22,57124.44921875,24378.099609375
2026-04-23,56305.0,24173.05078125
2026-04-24,56089.75,23897.94921875
2026-04-27,56264.30078125,24092.69921875
2026-04-28,55400.3515625,23995.69921875
2026-04-29,55403.6015625,24177.650390625
2026-04-30,54863.3515625,23997.55078125
